"Annee","Occasion","Neuf","PercentageOccas","TotalVentes"
2010,5485082,2274382,0.706889290291185,7759464
2011,5535606,2227506,0.713065327409936,7763112
2012,5480632,1920672,0.740495458638099,7401304
2013,5478690,1816678,0.750981992957723,7295368
2014,5542547,1827179,0.752069615613932,7369726
2015,5632083,1955937,0.742233547091336,7588020
2016,5726790,2060169,0.735433434284167,7786959
2017,5763309,2157670,0.727600590785558,7920979
2018,5712659,2223581,0.719819335100753,7936240
2019,5855065,2258277,0.721658842928105,8113342
2020,5673976,1693530,0.770135239794851,7367506
2021,6134019,1708675,0.782131624668768,7842694
2022,5320980,1576950,0.771387938120567,6897930
